Book_ID,Original_Text
43,Symon de Partenico sicut dixit Angot de Archis Comestabulus tenet in Caurato fedum unum militis et cum augmento obtulit milites duos et servientes duos. 
44,Floriana uxor Berardi de Bersentone sicut dixit Angot de Archis tenet feudum unum militis in Caurato et cum augmento obtulit milites duos et servientes duos. 
45,"Altruda uxor Hugonis Blanci sicut dixit Angot Comestabulus tenet in Caurato, et in barulo feudum unum militis et cum augmento obtulit milites duos et servientes duos. "
46,Freselengda uxor Brilieni Schifiadei dixit quod in Caurato feudum dimidii militis et cum augmento militem unum obtulit.
47,Boamundus Travallie dixit quod tenet in Caurato feudum unum militis et cum augmento obtulit milites duos et servientes tres.
48,Galganus de Altavilla dixit quod tenet in Caurato feudum unum militis et cum augmento obtulit milites duos et servientes tres.
49,Rogerius filius Girohy dixit quod tenet in Barulo feudum duorum militum et cum augmento milites quatuor obtulit et servientes quatuor.
50,Goffridus Columbellus tenet in Barulo villanos duos et affidatos sex et domos de qua cum augmento obtulit militem unum.
51,Flandena filia Hugonis Gatti sicut dixit Angot tenet feudum dimidij militis et cum augmento obtulit militem unum.
52,Sanson de Barulo dixit quod tenet in Brulo pheudum unum militis et cum augmento obtulit milites duos et servientes tres.
53,Comes Gilbertus Gravine tenet Cannas quod est feudum novem militum et cum augmento obtulit milites decem et octo et servientes decem et octo.
54,"Idem Comes Gilbertus de Gravina sicut inventum est in quaternionibus Curie demanium suum Gravine est fedum militum octo, et de Spinaczola quatuor militum, et de Florentia est demanium suum militum quatuor. Demanium suum de Pulignano est feudum quatuor militum."
55,Antenorius Alti Johannis sicut inventum in quaternionibus Curie tenet in Gravina Feudum unius militus et cum augmento obtulit milites duos.
56,Riccardus Cerbronis tenet in Gravina feudum unum militis quod fuit Robberti Filij Averardi et cum augmento obtulit milites duos.
57,Guillelmus de Trigarico et Guillelmus Malaopera et Raynaldus de Bellocampo dixerunt quod tenent in Gravina feudum unum militis et cum augmento obtulerunt milites duos. 
58,"Accardus dixit quod tenet in Gravina villanos viginti quatuor, feudum silicet unius militis et cum augmento obtulit milites duos."
59,Domina Advisa tenet in Spinaczola feudum unum militis et cum augmento obtulit milites duos.
60,Guillelmus Pictarie dixit quod tenet in Spinaczola feudum unum militis et cum augmento obtulit milites duos.
61,Raymundus tenet in Florentia feudum unum militis et cum augmento obtulit milites duos.
62,Goffridus de Francavilla dixit quod tenet in Florentia feudum unum militis et cum augmento obtulit milites duos. 
63,Magister Rosinus dixit quod tenet in Florentia feudum unum militis e cum duos villanis quos tenet in Gravina et cum augmento obtulit milites duos.
64,Nicolaus de Brahi tenet de predicto Comite Montem Milionem quod est feudum sex militum et plus et cum augmento obtulit milites duodecim.
65,Guillelmus de Garreis tenet Bellummontem de predicto Comite quod est feudum quotuor militum et cum augmento obtulit milites quatuordecim et servientes octo.
66,Rogerius de Caviano tenet a predicto Comite Cavianum et Sanctum Angelum quod est feudum sex militum et cum augmento milites duodecim et servientes duodecim.
67,Matheus de Tito tenet de eodem Comite Titum quod est feudum trium militum et cum augmento obtulit milites quatuor et servientes quatuor.
68,Guillelmus filius eius tenet de predicto COmite Laurentianum quod est feudum duorum militum et cum augmento obtulit milites quatuor et servientes quatuor.
69,Robbertus Petreperciate tenet in balio de predicto Comite Campum Maiorem et Trefogiam feudum trium militum et cum augmento obtulit sex milites et quatuor servientes.
70,Alexander Marsici Veteris tenet de predicto Comites Marsicum Vetus quod est feudum duorum militum et cum augmento obtulit milites quatuor. 
71,Philippa quondam Marchionissa Gravine tenet in vita sua Florentiam feudum quatuor militum et cum augmento obtulit milites octo; qua mortua revertetur ad predictum Comitem Gilibertum.
72,"Comes Berteraymus Andrie sicut inventum est in quaternionibus Curie demanium suum est Andrie fedum militum tredecim, et in Monerbino feudum militum quatuor, et in Sancto Archangelo feudum militum sex, et de Pollicore fedum militum quatuor et de Roca milites triginta unum et cum augmento milites lxxij et serviente cc. "
73,Guillelmus Rapollensis sicut dixit tenet in Andria feudum unius militis et dimidium et cum augmento obtulit milites tres. 
74,Guillelmus Cebronis sicut dixit Guillelmus Rapollensis tener in Andria feudum unum militis et dimidium et cum augmento obtulit milites tres.
75,Robbertus Princeps sicut dixit Guillelmus Rapollensis tenet in Andria feudum unum militis et cum augmento obtulit milites duos.
76,Danesius sicut dixit Guillelmus Rapollensis tenet in Andria fedum unum militis et cum augmento obtulit milites duos.
77,Jordanus de Neapoli sicut dixit Guillelmus Rapollensis tenet in Andria feudum unum militis et cum augmento obtulit milites duos. 
78,Jacob et frater eius tenet in Andria feudum unum militis et cum augmento obtulit milites duos.
79,Robbertus Pane et vinum tenet in Andria feudum unum militis et cum augmento obtulit milites duos.
80,Rogerius filius Giroy sicut dixit Guillelmus Rapollensis tenet in Andria fedum dimidium militis et cum augmento obtulit unum militem.
81,Rogerius de Ogiano sicut dixit Guillelmus Rapollensis tenet in Sancto Archangelo feudum unum militis et cum augmento obtulit milites duos.
82,Guillelmus Marescalcus sicut dixit Guillelmus Rapollensis tenet in Sancto Archangelo feudum unum militis et cum augmento obtulit milites duos.
83,Grahelonus sicut dixit Guillelmus Rapollensis tenet in Sancto Archangelo feudum unum militis et cum augmento obtulit milites duos.
84,Rahul filius Obbertj tenet in Sancto Archangelo feudum unum militis et cum augmento obtulit milites duos.
85,Filius Johannis de Juncato sicut dixit Guillelmus Rapolensis ipse cum fratre suo tenet Colubrara feudum unum militis et cum augmento milites duos obtulit.
86,Goffridus de Partenico tenet de eodem Comitatu un Castello Novo feudum octo militum et cum augmento obtulit milites sexdecim.
87,Abbas Bancie sicut dixit Guillelmus Rapollensis tenet Banciam de eodem Comitatu quod est feudum trium militum et cum augmento obtulit milites septem.
88,Guillelmus filius Symonis tenet terram Guillelmi Rapollensis qui tenuit feudum unum militis et cum augmento obtulit milites duos. 
89,Riccardus Maletta sicut inventum est in quaternionibus Curio tenet feudum trium militum et cum augmento obtulit milies octo. 
90,Rogerius Flamengus tenet Grumum quod sicut inventum est in quaternibus Curie est feudum trium militum et cum augmento obtulit milites septem.
91,Riccardus de Roto sicut dixit tenet feudum trium militum et cum augmento obtulit milites septem et servientes octo; et hoc juravit.
92,Girinus Andrie sicut dixit tenet in Terlitio feudum Parisij Guarannonis quod sicut ipse dixit est feudum duorum militum et cum augmento obtulit milites quatuor.
93,Domini Lacumpensilis sicut dixerunt tenent feudum trium militum et cum augmento obtulerunt milites octo et servientes octo; et hoc juraverunt.
94,Beregnerius de Missanello sicut inventum st in quaternionibus Curie tenet feudum duorum militum et cum augmento obtulit milites quatuor et servientes quinque.
95,Domina Glose ut ipsa dixit tenet feudum duorum militum et cum augmento obtulit milites sex et servientes quinque.
96,Domini Tore acceperunt in excambium a Morellano Vineolam que est feudum unius militis dimidij et cum augmento obtulerunt milites tres et servientes quatuor.
97,predictus Morellanus dedit predictam Toram Curie et accepit in excambium olivetum a Curia quod est feudum duorum militum et cum augmento obtulit milites quatuor et servientes quatuor. 
98,Paganus Nobilis tenet in Rubo et in Terlitio teram que fuit Gottifredi Malinepotis et est feudum duorum militum et cum augmento obtulit milites duos.
99,Danes Andrie tenet in Terlitio feudum quod tenebat Guillelmus Morellanus et Guillelmus de Spelunca quod sicut ipse dixit est feudum unius militis et cum augmento obtulit milites duos.
